Ang;dBm
0;-21,1
5;-21,5
10;-22,9
15;-24,1
20;-25
25;-26
30;-26,9
35;-28,8
40;-31,1
45;-31,5
50;-32,3
55;-33,5
60;-34,6
65;-37,2
70;-39,1
75;-40,1
80;-41,6
85;-41,4
90;-41,5
95;-42,5
100;-42,3
105;-42,7
110;-42,6
115;-43
120;-44,6
125;-49,8
130;-49,2
135;-49,3
140;-39
145;-39,7
150;-38,1
155;-38,1
160;-37
165;-36,6
170;-35,8
175;-35,5
180;-35,2
185;-33
190;-33,2
195;-32,7
200;-32,9
205;-34
210;-33,7
215;-34,3
220;-34,8
225;-37
230;-37,3
235;-40,9
240;-40,6
245;-39,7
250;-38,3
255;-36,9
260;-36,8
265;-37,8
270;-37,5
275;-37,8
280;-38,7
285;-44,6
290;-38,7
295;-37,1
300;-36,5
305;-33,5
310;-31,5
315;-29,6
320;-27,6
325;-25,1
330;-24,1
335;-22,5
340;-21,5
345;-20,9
350;-20,1
355;-20
360;-21,1
