        Theta / Degree                Gain (IEEE),Phi=0.0_3/

                    -180                      -5.7570419
                    -175                        -4.48512
                    -170                      -3.6147754
                    -165                      -3.2109087
                    -160                      -3.3224728
                    -155                      -3.9750009
                    -150                      -5.1761511
                    -145                      -6.8947462
                    -140                      -8.9621283
                    -135                       -10.84552
                    -130                      -11.699894
                    -125                      -11.411977
                    -120                      -10.713575
                    -115                      -10.082808
                    -110                      -9.5933355
                    -105                      -9.1523951
                    -100                       -8.635247
                     -95                      -7.9469866
                     -90                        -7.05049
                     -85                      -5.9683583
                     -80                      -4.7694195
                     -75                      -3.5548673
                     -70                      -2.4511911
                     -65                      -1.6128423
                     -60                      -1.2402121
                     -55                      -1.6301363
                     -50                      -3.2981265
                     -45                      -6.8633013
                     -40                      -5.9649006
                     -35                      0.70676508
                     -30                       5.4056651
                     -25                       8.4860629
                     -20                       10.375752
                     -15                       11.240507
                     -10                       11.100616
                      -5                        9.853738
                       0                       7.2062672
                       5                       2.4095649
                      10                      -5.2112691
                      15                      -2.0948229
                      20                       1.7753669
                      25                       2.9358908
                      30                       2.4107119
                      35                      0.57313001
                      40                      -2.4540044
                      45                      -6.4427136
                      50                      -9.8443239
                      55                       -10.21973
                      60                      -9.4798229
                      65                      -9.3142625
                      70                      -9.8124626
                      75                      -10.763856
                      80                      -11.939737
                      85                      -13.130926
                      90                      -14.183629
                      95                      -15.042603
                     100                      -15.745835
                     105                      -16.339906
                     110                       -16.73937
                     115                      -16.634619
                     120                      -15.754091
                     125                      -14.352753
                     130                      -13.023838
                     135                      -12.245631
                     140                      -12.357032
                     145                      -13.740942
                     150                      -17.101723
                     155                      -22.348045
                     160                       -18.06725
                     165                      -12.820696
                     170                       -9.601761
                     175                      -7.4106668
                     180                      -5.7570419

