        Theta / Degree                Gain (IEEE),Phi=0.0_3/

                    -180                       -5.669042
                    -175                      -3.9156018
                    -170                      -2.7876495
                    -165                      -2.2572123
                    -160                      -2.3507292
                    -155                      -3.1002159
                    -150                      -4.5221178
                    -145                      -6.5732132
                    -140                      -8.9929035
                    -135                      -10.990147
                    -130                      -11.637552
                    -125                      -11.290118
                    -120                      -10.829928
                    -115                      -10.572111
                    -110                      -10.460868
                    -105                      -10.326324
                    -100                         -10.003
                     -95                      -9.3963759
                     -90                       -8.503429
                     -85                      -7.3886535
                     -80                      -6.1511815
                     -75                      -4.9097562
                     -70                      -3.8030252
                     -65                      -2.9994336
                     -60                      -2.7219377
                     -55                      -3.3059017
                     -50                      -5.2715824
                     -45                      -7.8852418
                     -40                      -3.6522026
                     -35                       2.1891043
                     -30                       6.3091693
                     -25                       9.0928471
                     -20                       10.810215
                     -15                       11.561598
                     -10                       11.337004
                      -5                       10.015893
                       0                       7.2830815
                       5                       2.3017877
                      10                      -6.5273683
                      15                       -2.802681
                      20                       1.3834717
                      25                       2.5280799
                      30                        1.898311
                      35                     -0.10361804
                      40                      -3.3187691
                      45                      -7.1982028
                      50                      -9.3193454
                      55                      -8.6949488
                      60                      -7.9273718
                      65                      -7.8629618
                      70                      -8.3954698
                      75                      -9.3077283
                      80                      -10.394364
                      85                      -11.479824
                      90                      -12.442108
                      95                      -13.239974
                     100                      -13.917194
                     105                      -14.571326
                     110                      -15.282121
                     115                       -15.96325
                     120                      -16.136964
                     125                      -15.189888
                     130                      -13.403989
                     135                      -11.662601
                     140                      -10.544006
                     145                      -10.354903
                     150                      -11.413894
                     155                      -14.399523
                     160                      -21.224936
                     165                      -19.574925
                     170                      -12.263319
                     175                      -8.2437827
                     180                       -5.669042

