        Theta / Degree                Gain (IEEE),Phi=0.0_1/

                    -180                      -4.7023857
                    -175                      -6.6971872
                    -170                       -12.79725
                    -165                       -14.96772
                    -160                      -7.0386687
                    -155                      -3.6676782
                    -150                      -2.4344871
                    -145                      -2.5074254
                    -140                      -3.4296618
                    -135                      -4.7206025
                    -130                      -5.7899917
                    -125                       -6.295933
                    -120                      -6.4557952
                    -115                      -6.6440529
                    -110                      -7.0304804
                    -105                      -7.5805916
                    -100                      -8.1157585
                     -95                      -8.3520539
                     -90                       -8.004796
                     -85                      -6.9661378
                     -80                      -5.3492097
                     -75                      -3.3520788
                     -70                      -1.1546908
                     -65                       1.0897013
                     -60                       3.2418491
                     -55                       5.1727885
                     -50                       6.7621896
                     -45                       7.8900128
                     -40                       8.4217035
                     -35                       8.1780476
                     -30                       6.8710444
                     -25                        3.943368
                     -20                      -1.5240177
                     -15                      -2.1244652
                     -10                       3.2487164
                      -5                       5.8671999
                       0                       6.3890597
                       5                       5.0852858
                      10                       1.6405382
                      15                       -4.488388
                      20                      -4.0804727
                      25                       0.2500629
                      30                       2.0307594
                      35                       2.2243369
                      40                         1.64394
                      45                       1.1654451
                      50                        1.391015
                      55                       2.0561744
                      60                       2.6209258
                      65                       2.8369331
                      70                       2.6752617
                      75                       2.1888081
                      80                       1.4558242
                      85                      0.56704942
                      90                     -0.37311656
                      95                      -1.2512158
                     100                      -1.9734818
                     105                      -2.5187748
                     110                      -2.9704664
                     115                      -3.4830152
                     120                      -4.1932035
                     125                       -5.075649
                     130                      -5.7158824
                     135                      -5.4394728
                     140                      -4.3780613
                     145                      -3.4569221
                     150                      -3.3879226
                     155                      -4.6172728
                     160                       -7.471545
                     165                      -10.188956
                     170                      -7.7910219
                     175                       -5.187994
                     180                      -4.7023857

