        Theta / Degree                Gain (IEEE),Phi=0.0_1/

                    -180                      -11.422322
                    -175                      -13.978625
                    -170                      -20.377683
                    -165                      -15.163534
                    -160                      -9.3466676
                    -155                      -6.4938183
                    -150                      -5.3124073
                    -145                       -5.288502
                    -140                       -6.166005
                    -135                       -7.763928
                    -130                      -9.8543854
                    -125                      -11.991882
                    -120                      -13.454319
                    -115                      -13.856631
                    -110                      -13.636278
                    -105                      -13.342664
                    -100                      -13.198184
                     -95                      -13.154994
                     -90                      -12.861966
                     -85                      -11.632122
                     -80                      -9.1098393
                     -75                      -5.8480355
                     -70                      -2.5167312
                     -65                      0.56076083
                     -60                       3.2623389
                     -55                       5.5270505
                     -50                       7.3001061
                     -45                       8.5097752
                     -40                       9.0521802
                     -35                        8.760671
                     -30                       7.3322351
                     -25                       4.1067979
                     -20                       -2.367734
                     -15                      -1.7715136
                     -10                       4.2258623
                      -5                       6.8875022
                       0                       7.4656308
                       5                       6.2994026
                      10                       3.1306224
                      15                       -3.119688
                      20                      -6.5815581
                      25                     -0.98568523
                      30                       1.4162341
                      35                       1.8843487
                      40                       1.3829387
                      45                       0.7977466
                      50                      0.85303875
                      55                       1.4505297
                      60                       2.0445987
                      65                       2.3281859
                      70                       2.2388869
                      75                       1.8092872
                      80                       1.0918634
                      85                      0.13199084
                      90                      -1.0416249
                      95                      -2.4205748
                     100                      -4.0161958
                     105                      -5.8527607
                     110                      -7.9431748
                     115                      -10.218944
                     120                      -12.371256
                     125                      -13.738246
                     130                      -13.837623
                     135                      -13.025514
                     140                      -11.958301
                     145                      -11.140098
                     150                      -10.975631
                     155                      -11.814368
                     160                      -13.748282
                     165                      -15.176542
                     170                       -13.49558
                     175                      -11.551046
                     180                      -11.422322

