Ang;dBm
0;-27,4
5;-28,5
10;-29,5
15;-30,8
20;-26
25;-25,9
30;-25,2
35;-24,6
40;-24,3
45;-24,1
50;-24,2
55;-25,7
60;-26,9
65;-28,8
70;-36,8
75;-38,2
80;-39,8
85;-40,4
90;-38,6
95;-37,3
100;-39,3
105;-42,3
110;-46,8
115;-49
120;-45,8
125;-43,4
130;-41,5
135;-39,4
140;-38,6
145;-37
150;-36,8
155;-39
160;-44,6
165;-45,2
170;-42,6
175;-42,1
180;-41
185;-42,3
190;-43,4
195;-44,1
200;-40
205;-40,6
210;-42,8
215;-45,3
220;-47,4
225;-47,6
230;-47,1
235;-44,2
240;-41,9
245;-40
250;-38,1
255;-36,4
260;-34,7
265;-33,1
270;-32,4
275;-32,1
280;-28,2
285;-26,9
290;-26,5
295;-26,7
300;-27,3
305;-28
310;-29,7
315;-37
320;-39,2
325;-37,3
330;-33,2
335;-29,7
340;-29,8
345;-28,9
350;-28,9
355;-26,7
360;-24,4
