ang;dBm
0;-21,5
5;-22,2
10;-23,3
15;-25
20;-28
25;-27,8
30;-28
35;-27,8
40;-29,1
45;-33,2
50;-37,3
55;-36,7
60;-34,5
65;-31,7
70;-30,1
75;-28,2
80;-27,3
85;-28,5
90;-27,7
95;-28,5
100;-31,1
105;-36,4
110;-38,3
115;-40,5
120;-42,8
125;-40,1
130;-38,5
135;-38
140;-37,5
145;-37,9
150;-36,8
155;-37,8
160;-39,8
165;-38,4
170;-35,2
175;-37,7
180;-37,4
185;-36,6
190;-35
195;-31,2
200;-29,4
205;-27,7
210;-26,2
215;-26,9
220;-29,2
225;-28,6
230;-29,3
235;-33,9
240;-34,3
245;-36,9
250;-38,4
255;-39,1
260;-38,9
265;-37,5
270;-34,2
275;-32,4
280;-30,5
285;-29
290;-27,4
295;-26,1
300;-23,9
305;-22,3
310;-20,8
315;-20,2
320;-19,4
325;-19,1
330;-20,7
335;-20,9
340;-23,4
345;-25,8
350;-27,8
355;-26,2
360;-21,5
